,id,neg,neu,pos,compound,sentiment_score
0,1476566922598793216,0.0,0.902,0.098,0.4391,Positive
1,1476564942069239809,0.0,0.806,0.194,0.8126,Positive
2,1476564560605859844,0.073,0.618,0.309,0.9217,Positive
3,1476563073779617793,0.0,1.0,0.0,0.0,Neutral
4,1476561467969261575,0.0,0.758,0.242,0.4939,Positive
5,1476559480280297472,0.0,0.738,0.262,0.4939,Positive
6,1476555585243926533,0.0,0.879,0.121,0.6369,Positive
7,1476555343450996742,0.423,0.516,0.061,-0.8271,Negative
8,1476555136927477763,0.0,1.0,0.0,0.0,Neutral
9,1476554989635989506,0.282,0.718,0.0,-0.6249,Negative
10,1476554967024427011,0.0,0.881,0.119,0.6369,Positive
11,1476554939388231683,0.282,0.718,0.0,-0.6249,Negative
12,1476554864817852417,0.0,0.758,0.242,0.6249,Positive
13,1476554654926311428,0.0,0.881,0.119,0.6369,Positive
14,1476554638145081346,0.0,0.667,0.333,0.7574,Positive
15,1476554638082158593,0.055,0.694,0.251,0.8614,Positive
16,1476554502664867841,0.0,0.758,0.242,0.6249,Positive
17,1476554494603558917,0.0,0.881,0.119,0.6369,Positive
18,1476554384263815171,0.0,0.758,0.242,0.6249,Positive
19,1476554362717564931,0.0,0.881,0.119,0.6369,Positive
20,1476554314588069896,0.15,0.85,0.0,-0.6072,Negative
21,1476554238683598853,0.0,0.881,0.119,0.6369,Positive
22,1476554109801009152,0.0,0.879,0.121,0.6369,Positive
23,1476554025386405889,0.138,0.68,0.182,0.2023,Positive
24,1476553952153853956,0.0,0.879,0.121,0.6369,Positive
25,1476553903818764288,0.0,0.729,0.271,0.6795,Positive
26,1476553883967102980,0.0,0.879,0.121,0.6369,Positive
27,1476553260995465218,0.049,0.951,0.0,-0.3612,Negative
28,1476553053406781441,0.048,0.952,0.0,-0.3612,Negative
29,1476553002701844481,0.0,1.0,0.0,0.0,Neutral
30,1476552974566629378,0.056,0.688,0.256,0.8614,Positive
31,1476552879557148672,0.049,0.951,0.0,-0.3612,Negative
32,1476552797411704834,0.05,0.95,0.0,-0.3612,Negative
33,1476551283070832642,0.126,0.804,0.07,-0.4767,Negative
34,1476550492293525504,0.0,1.0,0.0,0.0,Neutral
35,1476550356318314496,0.123,0.877,0.0,-0.2732,Negative
36,1476539942725730311,0.0,0.842,0.158,0.4939,Positive
37,1476539868851449857,0.061,0.763,0.176,0.7585,Positive
38,1476539824471379973,0.067,0.726,0.207,0.8253,Positive
39,1476531063396655105,0.221,0.673,0.107,-0.2593,Negative
40,1476528891594428427,0.0,1.0,0.0,0.0,Neutral
41,1476528399967473667,0.0,0.851,0.149,0.5927,Positive
42,1476526530297749505,0.0,0.263,0.737,0.4215,Positive
43,1476525750119452676,0.0,0.915,0.085,0.5661,Positive
44,1476518970547187712,0.061,0.782,0.157,0.5346,Positive
45,1476517311389515779,0.0,0.794,0.206,0.6705,Positive
46,1476504559228887044,0.0,1.0,0.0,0.0,Neutral
47,1476501588088872962,0.2,0.8,0.0,-0.4588,Negative
48,1476495014930776064,0.0,0.616,0.384,0.9505,Positive
49,1476494318697267206,0.067,0.769,0.164,0.4404,Positive
50,1476491932729675778,0.288,0.673,0.039,-0.9682,Negative
51,1476491790190526466,0.0,1.0,0.0,0.0,Neutral
52,1476491480554516485,0.476,0.524,0.0,-0.6739,Negative
53,1476491184361017344,0.067,0.769,0.164,0.4404,Positive
